input_text,target_text,corrected_text
john put under the bathtub.,John hid under the bathtub.  ,john put under the bathtub.
anson demonized up the khyber,Anson demonized his enemies up the Khyber.  ,anton demonized up the khyber
john perfectly learned french immediately.,John immediately learned French perfectly.  ,john perfectly learned french immediately.
wash you!,Clean yourself!  ,wash you!
some my jobs are in jeopardy.,Some of my jobs are in jeopardy.  ,some my jobs are in jeopardy.
it's probable in general that he understands what's going on.,"It is probable, in general, that he understands what is happening.  ",it's probable in general that he understands what's going on.
"the sooner you call, the more carefully i know a man that will word the letter.","The sooner you call, the more carefully I will know how to word the letter.  ","the sooner you call, the more carefully i know a man that will word the letter."
"i know which book max read, and which book oscar hasn't done so.","I know which book Max read, and which book Oscar hasn’t read.  ","i know which book max read, and which book oscar has't done so."
"this is the problem that you'll beat the competition more easily, the sooner you solve.",This is the problem that you will beat the competition more easily by solving.  ,"this is the problem that you'll beat the competition more easily, the sooner you solve."
"he seems to become more corrupt, as any senator talks to more lobbyists.",He seems to become more corrupt as any senator talks to more lobbyists.  ,"he seems to become more corrupt, as any senator talks to more lobbyists."
john wrote books.,John wrote books.  ,john wrote books.
"drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are difficult to rescue.  ","drowning cats, which is against the law, are hard to rescue."
john would be preferred to be the candidate.,John would be preferred as the candidate.  ,john would be preferred to be the candidate.
"i demand that the more john eat, the more he pays.","I demand that the more John eats, the more he pays.  ","i demand that the more john eat, the more he pays."
everyone hopes everyone to sleep.,Everyone hopes everyone else sleeps.  ,everyone hopes everyone to sleep.
john fed the baby rice up.,John fed the baby rice.  ,john fed the baby rice up.
"stories about himself seem to show up more on the evening news, the more that john gets upset by them.","The more John gets upset by the stories, the more they seem to show up in the evening news.  ","stories about himself seem to show up more on the evening news, the more that john gets upset by them."
i would like to could swim,I would like to be able to swim.  ,i would like to could swim
the problem's perception is quite thorough.,The perception of the problem is quite thorough.  ,the problem's perception is quite thorough.
carla slid at the book.,Carla slid the book across the table.  ,carla slid at the book.
i squeaked the door.,I squeaked the door open.  ,i squeaked the door.
the building is tall and tall.,The building is extremely tall.  ,the building is tall and tall.
"you eat the more, the more you want.","The more you eat, the more you want.  ","you eat the more, the more you want."
mary persuaded that he should rest bill.,Mary persuaded Bill that he should rest.  ,mary persuaded that he should rest bill.
i noticed kissing mary.,I noticed someone kissing Mary.  ,i noticed kissing mary.
"i remember john being discussed, but you recall sally being.","I remember John being discussed, but you recall Sally being discussed.  ","i remember john being discussed, but you recall sally being."
runs mary the marathon?,Does Mary run the marathon?  ,runs mary the marathon?
the fact that no candidate was elected shows that he was inadequate.,The fact that no candidate was elected shows that he was inadequate.  ,the fact that no candidate was elected shows that he was inadequate.
"immediately, john probably will clearly learn french perfectly.","Immediately, John will probably clearly learn French perfectly.  ","immediately, john probably will clearly learn french perfectly."
"clearly, john immediately will probably learn french perfectly.","Clearly, John will probably learn French perfectly immediately.  ","clearly, john immediately will probably learn french perfectly."
bill floated into the cave for hours.,Bill floated in the cave for hours.  ,bill floated into the cave for hours.
i thought he liked myself,I thought he liked me.  ,i thought he liked myself
janet broke bill on the finger.,Janet broke Bill’s finger.  ,janet broke bill on the finger.
"ron wanted to be wearing a tuxedo to the party, but caspar didn't know whether to be.","Ron wanted to be wearing a tuxedo to the party, but Caspar didn’t know whether he should be wearing one.  ","ron wanted to be wearing a tuxedo to the party, but caspar did't know whether to be."
"i will, if i can work on it.",I will work on it if I can.  ,"i will, if i can work on it."
"we gave any senator enough opportunity and, sure enough, he succumbed to corruption.","We gave any senator enough opportunity, and sure enough, he succumbed to corruption.  ","we gave any senator enough opportunity and, sure enough, he succumbed to corruption."
sees he i often mary?,Does he often see Mary?  ,sees he i often mary?
john tries him to win.,John tries to win.  ,john tries him to win.
ted cried to sleep.,Ted cried himself to sleep.  ,ted cried to sleep.
aunt mary made the boys all a good mother.,Aunt Mary made all the boys appreciate a good mother.  ,aunt mary made the boys all a good mother.
"which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Which folks up at corporate headquarters do you think will be satisfied the sooner you solve this problem?  ,"which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?"
the kettle bubbled water up.,The kettle bubbled over with water.  ,the kettle bubbled water up.
give the bottle to the baby awake.,Give the bottle to the baby while awake.  ,give the bottle to the baby awake.
how do you wonder which problem to solve?,How do you wonder which problem to solve?  ,how do you wonder which problem to solve?
the men arrived all.,All the men arrived.  ,the men arrived all.
did the child be in the school?,Was the child at school?  ,did the child be in the school?
did calvin his homework?,Did Calvin do his homework?  ,did calvin his homework?
i consider there a man in that garden.,I consider there to be a man in that garden.  ,i consider there a man in that garden.
john tries to meet not mary.,John tries not to meet Mary.  ,john tries to meet not mary.
"the more he reads, the more books i wonder to whom he will give.","The more he reads, the more I wonder to whom he will give the books.  ","the more he reads, the more books i wonder to whom he will give."
rich we have impeccable taste.,"We, being wealthy, have impeccable taste.  ",rich we have impeccable taste.
this flyer and that flyer differ apart.,This flyer and that flyer differ significantly.  ,this foyer and that foyer differ apart.
the men were struck by the idea as nonsense.,The men were struck by the idea as nonsensical.  ,the men were struck by the idea as nonsense.
we yelled ourselves.,We yelled at each other.  ,we yelled ourselves.
spray the wall with all the paint.,Spray the wall with all the paint.  ,spray the wall with all the paint.
the ball wriggled itself loose.,The ball wriggled itself loose.  ,the ball wriggled itself loose.
i only eat fish drunk raw.,I only eat raw fish when I am drunk.  ,i only eat fish drunk raw.
what does john wonder mary bought?,What does John wonder Mary buy?  ,what does john wonder mary bought?
"when bill smokes, much more does susan hate him.","When Bill smokes, Susan hates him even more.  ","when bill smokes, much more does susan hate him."
the boys were made a good mother.,The boys were made to appreciate a good mother.  ,the boys were made a good mother.
what the water did to the bottle was fill it.,What the water did to the bottle was fill it.  ,what the water did to the bottle was fill it.
"ron wanted to wear a tuxedo to the party, but caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether to wear one.  ","ron wanted to wear a tuxedo to the party, but caspar could't decide whether to."
john likes not mary.,John does not like Mary.  ,john likes not mary.
mary wonders that bill will come.,Mary wonders if Bill will come.  ,mary wonders that bill will come.
the socks are ready for for you to put on to be planned.,The socks are ready for you to put on.  ,the socks are ready for for you to put on to be planned.
i wonder who what bought?,I wonder who bought what.  ,i wonder who what bought?
"sally explained the attempt to arrest holly, but only after i had denied the decision to.","Sally explained the attempt to arrest Holly, but only after I had denied the decision to do so.  ","sally explained the attempt to arrest holly, but only after i had denied the decision to."
give the baby the bottle awake.,Give the baby the bottle while awake.  ,give the baby the bottle awake.
"i don't plan to lock the door, no matter how fancy this hotel.","I don’t plan to lock the door, no matter how fancy this hotel is.  ","i don't plan to lock the door, no matter how fancy this hotel."
john sounded very.,John sounded very confident.  ,john sounded very.
kim put in the box.,Kim placed it in the box.  ,kim put in the box.
"the harder it rains, how much faster a flow that do you see in the river?",The harder it rains; the faster the river's flow becomes.  ,"the harder it rains, how much faster a flow that do you see in the river?"
"the most you want, the least you eat.","The more you want, the less you eat.  ","the most you want, the least you eat."
you shouldn't play with rifles because play with rifles to is dangerous.,You shouldn’t play with rifles because it is dangerous to do so.  ,you should't play with rifles because play with rifles to is dangerous.
"it is important the more you eat, the more careful for you to be.","It is important that the more you eat, the more careful you should be.  ","it is important the more you eat, the more careful for you to be."
mary tried john to go abroad.,Mary tried to persuade John to go abroad.  ,mary tried john to go abroad.
mary's criticism him was cruel.,Mary’s criticism of him was cruel.  ,mary's criticism him was cruel.
which house does your friend live?,Which house does your friend live in?  ,which house does your friend live?
bill poorly recited his lines.,Bill poorly recited his lines.  ,bill poorly recited his lines.
what did you ask who medea gave?,What did you ask about whom Medea gave something to?  ,what did you ask who medea gave?
john gave bill of the book.,John gave Bill part of the book.  ,john gave bill of the book.
"bill seems to be obnoxious, but i don't think that sam tends.","Bill seems obnoxious, but I don't think that Sam tends to behave that way.  ","bill seems to be obnoxious, but i don't think that sam tends."
"i'll turn the radio down, but i won't up.","I’ll turn the radio down, but I won’t turn it up.  ","i'll turn the radio down, but i won't up."
"he seems to become more corrupt, the more lobbyists every senator talks to.",He seems to become more corrupt the more lobbyists every senator talks to.  ,"he seems to become more corrupt, the more lobbyists every senator talks to."
fruit dropped from the tree from the clouds.,Fruit dropped from the tree as if from the clouds.  ,fruit dropped from the tree from the clouds.
the more pictures of john that he buys the more arrogant he becomes.,"The more pictures of John he buys, the more arrogant he becomes.  ",the more pictures of john that he buys the more arrogant he becomes.
"the more people you say that will buy tickets, the happier i'll be.","The more people you say will buy tickets, the happier I’ll be.  ","the more people you say that will buy tickets, the happier i'll be."
i raw eat fish drunk.,I eat raw fish when I am drunk.  ,i raw eat fish drunk.
the men were arrested all.,All the men were arrested.  ,the men were arrested all.
i want that bill left to remain a secret.,I want Bill’s departure to remain a secret.  ,i want that bill left to remain a secret.
"the harder it rains, the faster who runs?","The harder it rains, the faster he runs.  ","the harder it rains, the faster who runs?"
he impresses his friends all as pompous.,He impresses all his friends as being pompous.  ,he impresses his friends all as pompous.
mary is fond him.,Mary is fond of him.  ,mary is fond him.
who did you ask whether mary knows why john likes?,Who did you ask whether Mary knows why John likes her?  ,who did you ask whether mary knows why john likes?
